x(V),y(V)
0.020634,0.159134
0.033240,0.155695
0.046484,0.150919
0.059727,0.149518
0.072461,0.148818
0.085322,0.151683
0.098057,0.158115
0.111300,0.161490
0.124034,0.161426
0.137914,0.172825
0.149757,0.189446
0.162618,0.227018
0.175352,0.252617
0.188850,0.266754
0.201584,0.305918
0.214700,0.369280
0.227689,0.398255
0.240295,0.417868
0.253793,0.460853
0.265381,0.510779
0.279771,0.537142
0.292378,0.557011
0.305239,0.599549
0.318100,0.663994
0.330070,0.709144
0.343059,0.778046
0.356430,0.827781
0.369036,0.860958
0.381898,0.876305
0.395268,0.946609
0.407875,1.009462
0.420991,1.044231
0.434362,1.095558
0.446968,1.158411
0.459702,1.167963
0.473200,1.166817
0.485807,1.183692
0.498414,1.195218
0.510893,1.206872
0.524264,1.222983
0.537635,1.232217
0.550496,1.225021
0.563485,1.206490
0.575582,1.185539
0.588571,1.158029
0.601941,1.138542
0.614803,1.096067
0.627791,1.035252
0.641162,0.965713
0.652750,0.928333
0.665993,0.885921
0.679109,0.844847
0.692098,0.787980
0.704959,0.730986
0.718075,0.659218
0.730682,0.600950
0.743289,0.532939
0.756787,0.447671
0.769648,0.377240
0.782382,0.323112
0.795371,0.261405
0.807978,0.214600
0.820330,0.190274
0.833955,0.168177
0.847198,0.158497
0.859423,0.155568
0.872921,0.154422
0.885273,0.168368
0.898644,0.188554
0.911378,0.228737
0.924366,0.275861
0.937228,0.347565
0.950216,0.406151
0.963205,0.505875
0.975684,0.630689
0.988418,0.780848
1.001662,0.897447
1.014396,1.025382
1.027767,1.174204
1.040755,0.781294
1.052980,0.644253
1.066223,0.497469
1.078957,0.400102
1.092073,0.319291
1.104553,0.230584
1.117923,0.192885
1.130785,0.157797
1.143264,0.147162
1.156125,0.169195
1.169114,0.208423
1.182357,0.279809
1.194837,0.370044
1.207953,0.473525
1.220687,0.587959
1.234058,0.670553
1.246919,0.757223
1.260035,0.836059
1.272769,0.928078
1.285758,1.040474
1.298746,1.114981
1.310844,1.174522
1.323960,1.212539
1.337076,1.223683
1.349555,1.218398
1.362798,1.185730
1.375660,1.125424
1.388266,1.057031
1.401382,0.981188
1.414244,0.866180
1.426978,0.762636
1.440094,0.673101
1.453210,0.572103
1.465817,0.466775
1.478678,0.373865
1.491412,0.334319
1.504401,0.254910
1.517135,0.190911
1.530251,0.160344
1.543239,0.160726
1.555591,0.192948
1.568835,0.255738
1.581951,0.317954
1.595194,0.410290
1.608183,0.520140
1.620917,0.598658
1.633014,0.676858
1.646385,0.792948
