x(V),y(V)
0.021143,1.468408
0.033877,1.451915
0.047120,1.423450
0.059982,1.395940
0.073098,1.356967
0.085705,1.313155
0.098566,1.281760
0.111427,1.245208
0.124671,1.206108
0.137277,1.175414
0.150266,1.146311
0.163000,1.125106
0.175352,1.088298
0.188723,1.074607
0.201584,1.054866
0.214573,1.018059
0.227561,0.967178
0.240041,0.913941
0.253411,0.865225
0.265509,0.808804
0.278752,0.751173
0.291486,0.704813
0.304857,0.655461
0.317464,0.618717
0.329433,0.591080
0.343186,0.563315
0.355666,0.532112
0.368145,0.491483
0.381134,0.458624
0.394122,0.427230
0.406984,0.397172
0.419845,0.369535
0.432834,0.336930
0.446077,0.315088
0.458429,0.293691
0.471418,0.271658
0.484279,0.258794
0.497013,0.248605
0.510002,0.247905
0.522736,0.248669
0.535724,0.254273
0.548840,0.264143
0.561702,0.274269
0.574054,0.290571
0.587170,0.305217
0.600286,0.333746
0.613020,0.369153
0.626009,0.397618
0.638870,0.435381
0.651349,0.480594
0.664083,0.529437
0.677454,0.580891
0.689679,0.636866
0.702922,0.698764
0.715656,0.765119
0.728645,0.807912
0.741633,0.875669
0.754495,0.923620
0.767101,0.975966
0.779963,1.013856
0.793333,1.070404
0.806322,1.123514
0.818165,1.198211
0.831663,1.270935
0.844652,1.344295
0.857131,1.398360
0.870502,1.448094
0.883363,1.499230
0.896352,1.554250
0.908831,1.589274
0.921692,1.626718
0.934808,1.644676
0.947415,1.657476
0.960404,1.665691
0.972756,1.664290
0.985362,1.646141
0.998478,1.613282
1.011212,1.578639
1.024074,1.516360
1.037190,1.419756
1.050306,1.273291
1.062658,1.059196
1.075519,0.652022
1.088635,0.253509
1.100987,0.268856
1.114485,0.306682
1.127347,0.358709
1.139699,0.431878
1.152815,0.515618
1.165549,0.605026
1.178283,0.695771
1.191526,0.785051
1.204387,0.894964
1.217121,0.985072
1.229983,1.106893
1.242844,1.209610
1.255705,1.291121
1.268567,1.370213
1.281555,1.454653
1.294289,1.529605
1.306514,1.587236
1.319757,1.624935
1.332619,1.650981
1.345353,1.665181
1.358341,1.664099
1.371203,1.653846
1.384064,1.618567
1.396798,1.577557
1.409787,1.521327
1.423158,1.464524
1.435764,1.393520
1.448626,1.305704
1.461105,1.208464
1.474221,1.103263
1.486700,1.000737
1.499562,0.909993
1.512550,0.808167
1.525666,0.711118
1.538400,0.618271
1.550880,0.541536
1.564123,0.478238
1.577239,0.409208
1.589591,0.353997
1.602452,0.305408
1.615186,0.275033
1.627666,0.254464
1.640527,0.247714
1.653516,0.258030
1.666123,0.287068
1.679493,0.316043
1.692482,0.367624
1.705343,0.426593
1.717823,0.488554
