x(V),y(V)
0.020252,1.080657
0.033750,1.087216
0.046229,1.112752
0.059472,1.141472
0.072206,1.148413
0.085068,1.200822
0.098184,1.238330
0.111300,1.272718
0.123525,1.305895
0.136768,1.327674
0.150139,1.374607
0.162618,1.422940
0.175352,1.447012
0.188468,1.475413
0.201711,1.506871
0.214318,1.537183
0.227307,1.560936
0.240423,1.588319
0.253029,1.601310
0.266145,1.615001
0.278879,1.616912
0.291486,1.612581
0.304857,1.592777
0.317209,1.576474
0.329561,1.552212
0.342677,1.510629
0.355920,1.479616
0.368654,1.416381
0.381643,1.355311
0.394632,1.287810
0.407238,1.183883
0.420100,1.095431
0.432961,0.979404
0.445950,0.888150
0.458938,0.791037
0.471672,0.687492
0.484534,0.594009
0.497268,0.461681
0.509747,0.394116
0.523372,0.326041
0.535852,0.275670
0.548968,0.225744
0.561956,0.207277
0.574436,0.201482
0.587297,0.212562
0.600413,0.233959
0.613402,0.265799
0.626391,0.306618
0.639507,0.369535
0.651604,0.439711
0.664593,0.512116
0.677709,0.591844
0.690825,0.695707
0.703304,0.768494
0.716547,0.877961
0.728899,0.957116
0.742143,1.084414
0.755259,1.129691
0.767738,1.225339
0.780981,1.293159
0.794097,1.386324
0.806704,1.438669
0.819566,1.490951
0.832172,1.536738
0.845798,1.576283
0.858150,1.593541
0.871011,1.611817
0.884382,1.608378
0.896988,1.592522
0.909595,1.561573
0.922711,1.532153
0.935445,1.490251
0.948434,1.426888
0.961168,1.343849
0.973774,1.286218
0.986508,1.201459
0.999879,1.117846
1.012358,1.032450
1.025220,0.930370
1.038081,0.837269
1.050688,0.730795
1.063931,0.659728
1.077302,0.553062
1.089909,0.487790
1.102643,0.430350
1.115377,0.384755
1.128620,0.312413
1.140972,0.263315
1.153833,0.227845
1.166822,0.212371
1.179429,0.201800
1.192417,0.202819
1.205788,0.217147
1.218395,0.247650
1.231383,0.289743
1.243990,0.339223
1.257488,0.381825
1.269713,0.452765
1.282956,0.522432
1.295817,0.607573
1.308169,0.702203
1.321158,0.791356
1.334402,0.891207
1.346372,0.966796
