x(V),y(V)
0.014521,0.380743
0.027765,0.320692
0.040626,0.277835
0.053487,0.242556
0.066349,0.228928
0.079338,0.213963
0.092199,0.216829
0.104933,0.221032
0.117794,0.228737
0.130910,0.236570
0.143899,0.241664
0.156760,0.259622
0.169494,0.278854
0.182101,0.328142
0.194962,0.364759
0.207824,0.409208
0.220940,0.453657
0.234056,0.536251
0.246535,0.622474
0.259524,0.728057
0.272258,0.846312
0.285374,0.937948
0.298235,1.003412
0.310842,1.056840
0.323321,1.174968
0.336055,1.234127
0.348789,1.253359
0.361778,1.297999
0.374894,1.411796
0.388010,1.520435
0.400871,1.600546
0.413733,1.721730
0.426467,1.859471
0.439837,1.961424
0.452571,2.037586
0.465433,2.124255
0.478421,2.211434
0.490519,2.283903
0.503380,2.332618
0.516496,2.396617
0.529103,2.416231
0.542091,2.454758
0.555462,2.471060
0.568324,2.499780
0.580803,2.522387
0.594174,2.525316
0.606780,2.526462
0.619769,2.507740
0.632503,2.491820
0.644982,2.445779
0.657589,2.395790
0.670705,2.337904
0.683439,2.261551
0.696173,2.223725
0.709162,2.134635
0.722405,2.066306
0.734630,1.982948
0.747491,1.941810
0.760862,1.849028
0.773468,1.722430
0.786584,1.621433
0.799573,1.523556
0.812307,1.423195
0.824786,1.279277
0.837266,1.166244
0.850382,1.044741
0.863625,0.942724
0.876741,0.841281
0.889093,0.740857
0.901445,0.672336
0.914943,0.595028
0.927932,0.502627
0.940411,0.441303
0.953145,0.385964
0.966134,0.352914
0.978104,0.308465
0.991475,0.269174
1.004209,0.236506
1.017070,0.218421
1.029804,0.221032
1.043047,0.234978
1.055399,0.263188
1.068643,0.295411
1.080995,0.348520
1.094365,0.386856
1.107099,0.446588
1.119961,0.503774
1.133332,0.598785
1.145174,0.685837
1.158163,0.811988
1.171406,0.923174
1.184268,1.032769
1.197256,1.141535
1.210118,1.242342
1.222724,1.356330
1.235458,1.498529
1.248956,1.647542
1.261818,1.777896
1.274679,1.872717
1.287158,1.966327
1.299892,2.061848
1.312626,2.150619
1.325488,2.229456
1.338476,2.295811
1.351083,2.364841
1.364072,2.410309
