x(V),y(V)
0.022034,1.097596
0.035023,1.074034
0.046993,1.030731
0.060619,0.995516
0.073480,0.931198
0.085705,0.892990
0.099330,0.846758
0.112446,0.820330
0.124671,0.778237
0.137787,0.740984
0.150775,0.702266
0.163000,0.685072
0.176625,0.673865
0.189105,0.674438
0.202093,0.647246
0.214827,0.606236
0.227943,0.551152
0.240423,0.516510
0.253157,0.484606
0.266400,0.447607
0.279261,0.408062
0.292378,0.369853
0.304729,0.337631
0.317591,0.315725
0.329943,0.299996
0.342932,0.292354
0.355920,0.286049
0.368782,0.282356
0.381643,0.282038
0.394632,0.282547
0.407366,0.284330
0.420227,0.291908
0.433343,0.299805
0.446077,0.317062
0.459193,0.349348
0.471800,0.397427
0.485043,0.443659
0.497395,0.497915
0.510638,0.528291
0.523245,0.566690
0.535979,0.595028
0.549477,0.630562
0.561956,0.661383
0.574563,0.707106
0.587807,0.740920
0.600923,0.780593
0.613402,0.807594
0.626900,0.863378
0.639761,0.934319
0.651859,1.010481
0.664338,1.104664
0.677709,1.168982
0.690443,1.224129
0.703559,1.272335
0.716547,1.314938
0.729281,1.364481
0.741888,1.400843
0.754622,1.433511
0.767738,1.459302
0.780599,1.490314
0.793588,1.517570
0.806449,1.546353
0.818801,1.579786
0.832300,1.604048
0.845034,1.616657
0.857513,1.623662
0.870756,1.620350
0.883872,1.610862
0.896479,1.590994
0.909086,1.560172
0.922202,1.533999
0.935190,1.492607
0.947797,1.457965
0.960913,1.405683
0.973392,1.343849
0.986126,1.267050
0.998860,1.169873
1.011594,1.065692
1.024710,0.947564
1.037572,0.778874
1.050433,0.520649
1.063167,0.356799
1.075901,0.477983
1.089272,0.569938
1.102006,0.686282
1.114613,0.777027
1.127729,0.859876
1.140335,0.960428
1.153197,1.045314
1.165803,1.135613
1.178919,1.191143
1.192163,1.280359
1.204897,1.350090
1.217503,1.438415
1.230747,1.512093
1.243353,1.565394
1.256597,1.590229
1.269331,1.605576
1.282192,1.612390
1.295181,1.605704
1.307023,1.590548
1.320394,1.554632
1.333128,1.521327
1.345735,1.465352
1.358978,1.425742
1.371585,1.336526
1.384192,1.272335
1.396671,1.170383
1.410296,1.072251
1.422903,0.979659
1.435764,0.895919
1.448626,0.783077
1.461487,0.686219
1.474094,0.595537
1.487210,0.519439
1.499562,0.450473
1.512678,0.397618
1.525666,0.363931
1.538528,0.324831
1.551389,0.302033
1.564123,0.292418
1.577876,0.289679
