x(V),y(V)
0.017832,1.440198
0.030694,1.416126
0.043173,1.394793
0.056416,1.351427
0.069660,1.346078
0.081757,1.314428
0.095000,1.264949
0.107734,1.223238
0.120850,1.198721
0.133712,1.174458
0.146318,1.120903
0.159307,1.102053
0.172041,1.088489
0.184520,1.074289
0.197764,1.019714
0.211389,0.964121
0.223487,0.905408
0.236475,0.865989
0.249464,0.814281
0.262198,0.789891
0.275314,0.726783
0.288175,0.676030
0.301037,0.621392
0.314153,0.580445
0.325995,0.553636
0.338729,0.516765
0.351973,0.499380
0.364834,0.481167
0.377823,0.457796
0.390811,0.417168
0.403291,0.394752
0.416152,0.373801
0.429141,0.347629
0.441875,0.322857
0.454863,0.309484
0.468234,0.297767
0.480841,0.292863
0.493066,0.290125
0.506054,0.290380
0.519170,0.295347
0.531777,0.299104
0.545020,0.301205
0.558009,0.328843
0.570616,0.345591
0.583604,0.377049
0.596466,0.378450
0.609200,0.407425
0.622188,0.446015
0.634795,0.488681
0.647784,0.525998
0.660263,0.583884
0.673379,0.659537
0.686240,0.716212
0.699356,0.765055
0.711963,0.802436
0.724824,0.861723
0.737686,0.935337
0.750293,0.986855
0.763791,1.029521
0.776270,1.096386
0.789386,1.151852
0.802629,1.211138
0.815109,1.247946
0.827715,1.305768
0.840959,1.373524
0.853693,1.423068
0.866554,1.472420
0.879543,1.511265
0.892149,1.559854
0.905265,1.581632
0.917745,1.611180
0.930988,1.620350
0.943722,1.633914
0.956838,1.633023
0.969445,1.628501
0.981669,1.608951
0.994531,1.577366
1.007774,1.531134
1.020636,1.463441
1.033497,1.371423
1.046104,1.224511
1.058965,1.000610
1.071190,0.513580
1.084942,0.297385
1.098058,0.323112
1.110028,0.375202
1.123272,0.442577
1.136133,0.508995
1.148485,0.584457
1.161474,0.647819
1.174590,0.735699
1.187196,0.827080
1.200567,0.932854
1.213428,1.007233
1.226162,1.119184
1.239024,1.216169
1.252395,1.313282
1.264492,1.398614
1.277735,1.461149
1.290979,1.524001
1.303076,1.572399
1.315810,1.605576
1.328799,1.626400
1.341787,1.642129
1.354649,1.631813
1.367255,1.622706
1.379989,1.588637
1.392596,1.535082
1.406349,1.488404
1.419083,1.421221
1.431562,1.357413
1.444551,1.253422
1.457157,1.161213
1.469764,1.027229
1.483135,0.922729
1.495996,0.837015
1.508603,0.763654
1.521337,0.665077
1.534580,0.585922
1.547569,0.506194
1.560303,0.447353
1.573164,0.379087
1.585771,0.338395
1.599142,0.307000
1.612003,0.287132
1.624610,0.279299
1.636707,0.293182
1.650078,0.325404
1.663066,0.380424
1.675800,0.432197
1.688916,0.484542
1.701268,0.552553
1.714002,0.626168
1.726482,0.732833
1.740234,0.814790
1.752714,0.920882
1.765830,0.999464
1.778819,1.074734
1.791425,1.176432
1.804287,1.299909
1.817275,1.391546
1.830137,1.469682
1.842998,1.499994
1.856114,1.549537
1.868593,1.594942
1.881200,1.621178
1.894443,1.634806
1.907559,1.624171
1.920039,1.614619
1.933282,1.582842
1.946398,1.556224
1.958113,1.492225
1.970847,1.421221
1.983963,1.322006
1.996952,1.256352
2.010195,1.153826
2.022675,1.075944
2.035154,0.974883
2.048270,0.872994
2.061259,0.761107
2.073866,0.664185
2.087109,0.603880
2.099588,0.532430
2.112577,0.464992
2.125566,0.401694
2.138300,0.338650
2.151288,0.304899
2.163895,0.284139
2.176756,0.278917
2.189745,0.285158
2.202352,0.307828
2.215213,0.349858
2.228584,0.404750
2.241190,0.468749
2.253924,0.543447
2.266658,0.617062
2.279265,0.702266
2.292254,0.791674
2.305242,0.881464
2.317976,0.977685
2.330711,1.081548
2.343317,1.177515
2.356433,1.269979
2.369167,1.350726
2.382029,1.434275
2.395017,1.506553
2.408006,1.562592
2.420613,1.606723
2.433983,1.627100
2.445571,1.638308
2.459197,1.632068
2.471803,1.620032
2.484792,1.593986
2.498163,1.555014
2.510387,1.507508
2.523376,1.442172
2.536237,1.373715
2.548844,1.296407
2.561960,1.211329
2.574694,1.102053
2.587810,0.988065
2.600289,0.866562
2.613024,0.808677
2.626140,0.736335
2.638619,0.661001
2.651098,0.574650
2.664724,0.499443
2.677458,0.442258
2.689810,0.386028
2.703053,0.343872
2.715914,0.312795
2.728521,0.292736
2.741255,0.289616
2.754498,0.299868
2.766850,0.321583
2.779966,0.351004
2.792700,0.380806
2.805052,0.423663
2.818805,0.486707
2.831539,0.566563
2.844273,0.642215
2.856880,0.732005
2.869741,0.816318
2.883239,0.908528
2.895591,0.964248
2.908707,1.066520
2.921696,1.155481
2.933666,1.261191
2.946782,1.345314
2.959389,1.415999
2.972250,1.473312
2.985366,1.524129
2.998100,1.569979
3.011089,1.609779
3.023823,1.633341
3.036939,1.638690
3.049545,1.644294
3.062279,1.633660
3.075650,1.618631
3.088257,1.575264
3.100481,1.526103
3.113852,1.470000
3.126077,1.420329
3.139193,1.352064
3.152054,1.277303
3.165170,1.183947
3.178032,1.098678
3.190384,0.994879
3.203754,0.914450
3.216488,0.842555
3.229222,0.766966
3.241829,0.698828
3.254818,0.619099
3.267170,0.564589
3.280158,0.489191
3.292765,0.433215
3.305626,0.379978
3.318870,0.344381
3.331476,0.311012
3.343956,0.291462
3.357326,0.285986
3.370824,0.294264
3.382794,0.309866
3.395910,0.332027
3.408644,0.363931
3.420996,0.390486
3.433730,0.445187
3.446846,0.508741
3.460345,0.569174
3.473079,0.641770
3.485431,0.713219
3.498674,0.808804
3.510899,0.892098
3.524142,0.989848
3.537258,1.077473
3.549992,1.149304
3.562599,1.218907
3.575715,1.286091
3.587812,1.366838
3.601055,1.423513
3.613789,1.475859
3.626269,1.526421
3.639512,1.565903
3.652501,1.603793
3.664853,1.625636
3.677714,1.639072
3.690448,1.645186
3.703691,1.641110
3.716298,1.630157
3.729542,1.608633
3.742148,1.568705
3.754628,1.519735
3.767616,1.490633
3.780860,1.442809
3.793339,1.392055
3.806328,1.314556
3.819571,1.274055
3.831923,1.182036
3.844657,1.103518
3.857773,1.024809
3.870507,0.972018
3.883496,0.893690
3.896230,0.818738
3.909218,0.753020
3.921952,0.696535
3.934304,0.622029
3.947166,0.564334
3.960282,0.508040
3.973398,0.460280
3.985622,0.413220
3.998484,0.368452
4.011472,0.340751
4.024461,0.321647
4.036813,0.305281
4.050184,0.290380
4.063300,0.277962
4.075270,0.277898
4.088004,0.287132
4.101120,0.302734
4.114109,0.328970
4.126843,0.354251
4.140086,0.384245
4.152311,0.428503
4.164917,0.462127
4.178161,0.503455
4.191277,0.549305
4.203756,0.606363
4.216872,0.652277
4.229733,0.711054
4.241831,0.771169
4.254183,0.826380
4.267681,0.879235
4.280033,0.953486
4.293149,1.006660
4.306520,1.066456
4.319126,1.109122
4.332370,1.168536
4.344467,1.199294
4.357456,1.248392
4.370317,1.294560
4.383306,1.331113
4.396167,1.362316
4.408519,1.387597
4.421253,1.432301
4.434369,1.479871
4.447230,1.516806
4.460728,1.547563
4.473335,1.569151
4.485560,1.586281
4.499058,1.600928
4.511792,1.611817
4.524271,1.627228
4.537132,1.637608
4.550121,1.644231
4.562855,1.647797
4.575462,1.643084
4.588323,1.645377
4.600802,1.626336
4.614046,1.622006
4.626907,1.597107
4.639259,1.581059
4.652121,1.563993
4.665491,1.546672
4.678225,1.513558
4.691214,1.486303
4.704075,1.441280
4.716937,1.407912
4.728779,1.376453
4.742277,1.342830
4.755011,1.326273
4.767236,1.271253
4.780861,1.229669
4.793341,1.172166
4.806202,1.148031
4.818681,1.104028
4.831925,1.065246
4.844531,1.029967
4.857520,0.985964
4.870127,0.948774
4.883243,0.910247
4.895213,0.870702
4.908329,0.838416
4.921318,0.792565
4.933924,0.758242
4.946913,0.715894
4.960156,0.666350
4.972381,0.649666
4.984860,0.618845
4.998104,0.602097
5.010838,0.561214
5.018351,0.527272
