x(V),y(V)
0.020379,0.195114
0.033240,0.195305
0.046229,0.212498
0.058963,0.207595
0.072334,0.220140
0.085450,0.223515
0.097292,0.242619
0.110918,0.249943
0.123525,0.274141
0.136895,0.297385
0.149629,0.338459
0.162363,0.375712
0.175607,0.430859
0.188595,0.466011
0.201202,0.518229
0.214445,0.534531
0.227307,0.593054
0.240423,0.616361
0.253029,0.680487
0.266018,0.709717
0.279007,0.767412
0.291995,0.781994
0.305112,0.835168
0.317973,0.890634
0.330325,0.942342
0.343441,0.985263
0.356048,1.033469
0.368909,1.090209
0.381516,1.126252
0.395014,1.159302
0.407620,1.169746
0.420991,1.179298
0.433852,1.187194
0.446586,1.198848
0.459830,1.205726
0.472946,1.204707
0.485552,1.204197
0.497904,1.194772
0.510511,1.180699
0.524391,1.159939
0.536743,1.119820
0.550114,1.086133
0.563103,1.047479
0.575200,1.005004
0.588698,0.959281
0.602196,0.907573
0.614675,0.857520
0.627537,0.807339
0.640271,0.788554
0.652241,0.732260
0.665739,0.681252
0.678982,0.610248
0.691334,0.556629
0.704832,0.485752
0.717311,0.422772
0.730555,0.377049
0.743289,0.331836
0.756150,0.283439
0.768884,0.242810
0.782000,0.207277
0.795371,0.178238
0.807723,0.164356
0.820839,0.159070
0.833446,0.154231
0.846562,0.161745
0.859805,0.169195
0.872157,0.189510
0.885273,0.235423
0.898262,0.286049
0.911505,0.360046
0.924366,0.425383
0.936718,0.517656
0.950471,0.593691
0.963205,0.696790
0.975048,0.809186
0.988291,0.921137
1.000898,1.027101
1.014014,1.140835
1.027130,1.073970
1.040246,0.628651
1.052853,0.483587
1.065332,0.377686
1.078321,0.295602
1.091819,0.225043
1.104680,0.180212
1.117541,0.156714
1.130657,0.164165
1.143137,0.196706
1.155998,0.237971
1.169496,0.307510
1.181721,0.367242
1.195091,0.462827
1.207953,0.566499
1.220305,0.635720
1.233421,0.756395
1.246410,0.864334
1.259398,0.963102
1.272387,1.044550
1.285121,1.127335
1.297982,1.167135
1.310971,1.203369
1.323450,1.216742
1.336312,1.206426
1.349428,1.171274
1.362162,1.115299
1.375278,1.050727
1.387757,0.984499
1.401128,0.904070
1.413862,0.801608
1.426723,0.693797
1.439457,0.599613
1.452828,0.481868
1.464670,0.377368
1.477914,0.293054
1.491030,0.224916
1.504401,0.184543
1.517389,0.159198
1.529869,0.157351
1.543494,0.177092
1.555591,0.226508
1.569089,0.300187
1.582078,0.380934
1.594812,0.460471
1.607546,0.548095
1.620535,0.654315
1.632250,0.757223
1.645748,0.862168
1.659246,0.951003
1.671471,1.050090
1.685224,1.136632
1.698085,1.193754
1.710437,1.216679
1.723680,1.205980
1.736287,1.183310
1.748894,1.135804
1.762774,1.080784
1.775253,1.000737
1.788114,0.917125
1.800594,0.820776
1.813710,0.706023
1.826571,0.588787
1.839560,0.496068
1.852421,0.419333
1.865537,0.326614
1.877634,0.247905
1.891005,0.196769
1.904249,0.172380
1.916983,0.177219
1.929462,0.211416
1.943215,0.240773
1.955439,0.308847
1.967919,0.376285
1.981417,0.491738
1.993769,0.574969
2.007394,0.677940
2.020255,0.765310
2.032862,0.887959
2.045851,0.975265
2.058712,1.080848
2.071955,1.141663
2.084562,1.177579
2.097551,1.193053
2.110412,1.185793
2.123019,1.161022
2.135753,1.105365
2.148741,1.032005
2.161093,0.947628
2.174719,0.854972
2.187708,0.761362
2.200569,0.671763
2.213303,0.546885
2.226037,0.433725
2.239408,0.327124
2.252142,0.261851
2.265130,0.207277
2.277610,0.173589
2.289962,0.172889
2.302568,0.199444
2.315939,0.251089
2.328800,0.309739
2.341916,0.386092
2.354523,0.481613
2.367512,0.574587
2.380118,0.700865
2.393617,0.806703
2.406478,0.915087
2.418957,0.999591
2.432583,1.067220
2.444935,1.152170
2.457414,1.199612
2.471039,1.207254
2.483646,1.188786
2.497017,1.147521
2.509496,1.091355
2.522357,1.019332
2.535346,0.921328
2.548207,0.823769
2.561196,0.682716
2.573548,0.592544
2.587173,0.480530
2.599653,0.400929
2.612387,0.293627
2.625885,0.224789
2.639001,0.184861
2.651353,0.170087
2.664087,0.180276
2.677330,0.220522
2.689555,0.264716
2.702416,0.357181
2.715787,0.458115
2.728648,0.571530
2.741637,0.651131
2.754498,0.762508
2.767487,0.871529
2.780094,0.961128
2.793082,1.063145
2.805944,1.129181
2.819696,1.188723
2.831794,1.208018
2.845165,1.212921
2.857899,1.181272
2.870251,1.130837
2.883239,1.054611
2.896101,0.943680
2.908962,0.834786
2.922587,0.745951
2.933921,0.631390
2.947419,0.524661
2.959643,0.434808
2.972759,0.357563
2.986130,0.266308
2.999246,0.201673
3.011471,0.165247
3.024841,0.156650
3.037830,0.178939
3.050437,0.237843
3.063680,0.295347
3.076669,0.368771
3.089148,0.450218
3.101500,0.578471
3.114998,0.699974
3.127605,0.800398
3.140339,0.904070
3.153964,1.010099
3.166444,1.091546
3.179560,1.133830
3.192039,1.193754
3.205028,1.214259
3.218526,1.210565
3.231132,1.187131
3.244121,1.125552
3.256982,1.027483
3.269462,0.957562
3.281686,0.873376
3.294930,0.751364
3.308300,0.615724
3.320907,0.541664
3.333896,0.431050
3.346502,0.331963
3.359364,0.252681
3.372353,0.202309
3.385214,0.165056
3.397948,0.156650
3.410809,0.165757
3.423289,0.199953
3.436150,0.256947
3.449266,0.350685
3.462764,0.452001
3.475753,0.565162
3.488487,0.675648
3.501348,0.773843
3.514082,0.872485
3.526943,0.962147
3.539805,1.042576
3.552539,1.113516
3.566419,1.177579
3.578261,1.215405
3.590868,1.220181
3.603857,1.208145
3.616591,1.174777
3.629707,1.117719
3.642568,1.033087
3.655812,0.924321
3.668036,0.816573
3.680898,0.724809
3.694014,0.626932
3.707384,0.533449
3.720118,0.435699
3.732980,0.346992
3.745204,0.271403
3.758066,0.207913
3.771436,0.171488
3.784298,0.157032
3.796777,0.160981
3.809893,0.194540
3.823009,0.241791
3.835870,0.313368
3.848605,0.393988
3.861466,0.487026
3.874327,0.588724
3.887443,0.699337
3.900687,0.792311
3.912784,0.887577
3.925645,0.981888
3.938379,1.058114
3.951368,1.109695
3.964993,1.171720
3.977091,1.200949
3.990079,1.208846
4.003068,1.208082
4.016439,1.172230
4.029173,1.117974
4.042289,1.067475
4.054641,0.998063
4.067757,0.906554
4.079854,0.796577
4.093098,0.705641
4.106086,0.594837
4.118820,0.493203
4.131427,0.408125
4.144925,0.353169
4.157277,0.307510
4.170266,0.245230
4.183509,0.192184
4.196370,0.174290
4.208722,0.169960
4.222220,0.191675
4.234445,0.231284
4.247434,0.265353
4.259913,0.319036
4.272774,0.409272
4.286145,0.491547
4.298752,0.551598
4.311995,0.642215
4.324729,0.768940
4.337081,0.874459
4.350452,0.929734
4.363441,0.971508
4.376302,1.050663
4.388654,1.124660
4.401897,1.169937
4.414631,1.193308
4.428002,1.216042
4.440354,1.205789
4.453725,1.192671
4.466841,1.163696
4.479702,1.126634
4.492181,1.067284
4.504915,1.006851
4.517649,0.939668
4.530256,0.849369
4.543627,0.752128
4.556233,0.663357
4.569095,0.587323
4.581447,0.520904
4.594818,0.436145
4.607042,0.367242
4.620540,0.288660
4.633529,0.244784
4.646008,0.203774
4.658742,0.171106
4.671604,0.154294
4.684974,0.156268
4.697836,0.160790
4.710442,0.179321
4.723431,0.212817
4.736420,0.249369
4.748644,0.276625
4.761760,0.356862
4.774622,0.445761
4.787865,0.512753
4.800599,0.578662
4.812951,0.673737
4.825812,0.730095
4.839820,0.800653
4.852427,0.857329
4.865161,0.946927
4.878149,1.008315
4.889865,1.051873
4.903235,1.087789
4.916606,1.141408
4.928831,1.161149
4.942201,1.175859
4.954553,1.194772
4.967415,1.214768
4.980658,1.209674
4.993010,1.207127
5.006763,1.185730
5.018987,1.150578
