x(V),y(V)
0.015285,0.323112
0.028274,0.317444
0.041008,0.331645
0.054124,0.355652
0.067368,0.363358
0.079720,0.384882
0.092963,0.416404
0.105824,0.455567
0.118558,0.488427
0.131929,0.518866
0.144408,0.566499
0.158034,0.580764
0.170131,0.603370
0.183502,0.623111
0.196108,0.680870
0.209606,0.730540
0.221958,0.768558
0.235711,0.816700
0.247936,0.845420
0.261434,0.901714
0.273786,0.925467
0.287157,0.962402
0.300273,0.989784
0.312752,1.036080
0.325486,1.078301
0.337965,1.107403
0.350954,1.128035
0.363688,1.152043
0.377441,1.163442
0.390175,1.179362
0.402781,1.184647
0.415515,1.195027
0.428631,1.200249
0.441620,1.201905
0.454736,1.190060
0.467725,1.181336
0.480331,1.161722
0.492938,1.146694
0.505927,1.120330
0.519298,1.080529
0.531522,1.050154
0.544766,1.005705
0.557372,0.958708
0.570361,0.913240
0.582968,0.868855
0.596338,0.819502
0.609454,0.734552
0.622188,0.670490
0.635050,0.609929
0.647529,0.559112
0.660518,0.492566
0.673761,0.423663
0.686750,0.369726
0.699229,0.329161
0.712345,0.280255
0.725716,0.251152
0.738323,0.221987
0.750929,0.200399
0.763791,0.175436
0.776652,0.159325
0.790023,0.159389
0.802884,0.167795
0.814854,0.180531
0.827970,0.201991
0.841341,0.233831
0.854966,0.271849
0.867318,0.320373
0.880307,0.395389
0.892913,0.485943
0.906029,0.555228
0.918381,0.615278
0.932134,0.685837
0.944996,0.761044
0.957602,0.863378
0.970973,0.965267
0.983070,1.067539
0.996059,1.153125
1.008793,1.197256
1.021654,0.768685
1.035407,0.397682
1.048141,0.304390
1.060111,0.227272
1.073864,0.182505
1.086343,0.157860
1.099459,0.155249
1.112320,0.178302
1.125054,0.210588
1.137661,0.275797
1.151032,0.341324
1.164148,0.431687
1.176755,0.521986
1.189489,0.617062
1.202859,0.724618
1.215593,0.842682
1.228582,0.937630
1.241316,1.036717
1.254177,1.111351
1.267166,1.142554
1.280155,1.178916
1.293398,1.196619
1.305750,1.198784
1.318357,1.180126
1.331218,1.141535
1.344461,1.079001
1.357068,0.988766
1.370057,0.898084
1.382281,0.796132
1.395652,0.684627
1.408513,0.592608
1.421630,0.499061
1.434364,0.406597
1.447352,0.309993
1.459959,0.244721
1.472438,0.194286
1.485809,0.170214
1.499180,0.159580
1.511277,0.166011
1.524520,0.194286
1.537764,0.252299
1.550116,0.338904
1.563359,0.447735
1.576602,0.556947
1.589336,0.643489
1.602452,0.721498
1.615568,0.825552
1.628048,0.931389
1.640782,1.026528
1.654025,1.098806
1.666377,1.157201
1.679875,1.188404
1.692609,1.202796
1.705471,1.191525
1.717950,1.164588
1.731321,1.098933
1.744437,1.023471
1.756916,0.938076
1.769905,0.828354
1.783275,0.734616
1.795500,0.616871
1.808489,0.508613
1.821350,0.405896
1.833957,0.322984
1.846945,0.258030
1.859425,0.198043
1.872795,0.167795
1.885275,0.160153
1.898773,0.170278
1.911889,0.213772
1.924750,0.273759
1.937994,0.372910
1.950091,0.454039
1.962698,0.570511
1.976323,0.680679
1.988930,0.799889
2.001791,0.903561
2.014907,0.999209
2.028023,1.081166
2.040375,1.141472
2.053364,1.183374
2.066607,1.202796
2.079341,1.205726
2.092457,1.175477
2.105064,1.118547
2.117034,1.051045
2.130405,0.967050
2.144030,0.851279
2.156764,0.727866
2.169371,0.614705
2.182232,0.519057
2.195603,0.411309
2.208082,0.319100
2.220943,0.255865
2.233932,0.199062
2.246666,0.163655
2.259400,0.151301
2.272771,0.163401
2.284868,0.207404
2.297475,0.270002
2.310718,0.366542
2.323325,0.468813
2.337205,0.574587
2.349684,0.684627
2.362673,0.792693
2.375025,0.909292
2.388523,1.006787
2.401766,1.097214
2.414246,1.161276
2.426725,1.198020
2.440350,1.212348
2.452830,1.199867
2.465436,1.171402
2.478934,1.110587
2.490904,1.027611
2.504402,0.910311
2.517264,0.793075
2.530252,0.677622
2.542986,0.564207
2.555975,0.450982
2.568964,0.352787
2.581953,0.276879
2.594941,0.213071
2.607548,0.167795
2.620409,0.152129
2.633143,0.159198
2.645877,0.197342
2.658866,0.251662
2.671855,0.325277
2.685098,0.414557
2.697577,0.534595
2.710821,0.653614
2.723809,0.787153
2.735907,0.894200
2.749532,1.005004
2.762393,1.083841
2.774618,1.144783
2.787989,1.182291
2.800850,1.207763
2.813839,1.203815
2.826828,1.179999
2.839689,1.135995
2.852423,1.065755
2.865030,0.961255
2.878146,0.849560
2.890880,0.729840
2.903868,0.632472
2.916857,0.504283
2.929464,0.404050
2.941943,0.309420
2.955059,0.242301
2.967538,0.183014
2.980400,0.156650
2.993643,0.151556
3.006377,0.166011
3.018856,0.207722
3.032482,0.269556
3.045470,0.362212
3.057822,0.455949
3.071193,0.575733
3.084437,0.704368
3.096789,0.816191
3.110032,0.918908
3.122511,1.013474
3.135755,1.095876
3.148616,1.153316
3.161095,1.195282
3.174211,1.208973
3.186945,1.202159
3.199679,1.166689
3.212923,1.114089
3.225657,1.047161
3.239027,0.948392
3.251507,0.840262
3.263604,0.724491
3.276975,0.612285
3.290218,0.504028
3.302952,0.409208
3.315559,0.308720
3.328548,0.233640
3.341536,0.180467
3.353888,0.163783
3.367132,0.159834
3.380248,0.175818
3.392600,0.213645
3.405716,0.276370
3.418450,0.361575
3.431820,0.453530
3.444809,0.557011
3.457288,0.674501
3.470022,0.805111
3.483648,0.914641
3.496127,1.005896
3.508734,1.082312
3.521850,1.129563
3.534456,1.176050
3.547445,1.197192
3.561071,1.200758
3.573677,1.174395
3.585902,1.130200
3.598891,1.061998
3.611752,0.985390
3.624613,0.901714
3.637602,0.795749
3.650081,0.681761
3.662688,0.546185
3.675804,0.448690
3.688920,0.355652
3.701781,0.295220
3.714643,0.232367
3.727759,0.189573
3.740493,0.166139
3.752590,0.161936
3.765706,0.176901
3.779586,0.216510
3.791938,0.273186
3.804800,0.354697
3.818043,0.453148
3.830650,0.547013
3.843511,0.637185
3.855863,0.746461
3.869234,0.850770
3.882477,0.954060
3.895466,1.034425
3.907563,1.102690
3.920552,1.153380
3.933413,1.186812
3.946274,1.199612
3.960027,1.199103
3.972634,1.172930
3.985495,1.137460
3.997720,1.075690
4.010963,1.005131
4.024079,0.911457
4.036686,0.809441
4.049547,0.711946
4.062791,0.610311
4.074888,0.519949
4.088259,0.435635
4.101247,0.346355
4.113854,0.277325
4.127097,0.220904
4.139704,0.187918
4.152438,0.165757
4.165427,0.153148
4.178033,0.159962
4.191277,0.185179
4.204265,0.229756
4.217127,0.296557
4.229861,0.383927
4.241958,0.473653
4.254947,0.537333
4.267681,0.612477
4.280542,0.679787
4.293786,0.764482
4.306392,0.857456
4.319381,0.948328
4.332497,1.022962
4.345613,1.080848
4.358474,1.127971
4.370954,1.162677
4.384070,1.195728
4.396931,1.206553
4.409792,1.206681
4.422526,1.184456
4.435515,1.157519
4.447994,1.117592
4.461492,1.058814
4.474354,1.000419
