x(V),y(V)
0.014139,0.727993
0.027383,0.696726
0.039862,0.675775
0.052851,0.666032
0.065330,0.613368
0.077937,0.596811
0.090925,0.562615
0.103914,0.572931
0.116648,0.548669
0.129764,0.553636
0.142498,0.510014
0.155105,0.492184
0.167712,0.455376
0.180828,0.441494
0.193689,0.404878
0.206423,0.375266
0.219412,0.339223
0.232146,0.304517
0.245007,0.263188
0.258378,0.248223
0.270857,0.224916
0.283591,0.221859
0.296834,0.209887
0.309568,0.200081
0.322175,0.186135
0.334527,0.174226
0.347261,0.169195
0.360377,0.163655
0.373111,0.172634
0.386227,0.175054
0.398579,0.180976
0.411186,0.200590
0.424302,0.229756
0.437291,0.258476
0.450279,0.270575
0.462759,0.302161
0.476384,0.319673
0.488991,0.360046
0.501470,0.376540
0.513949,0.418187
0.527065,0.441876
0.540309,0.488618
0.552533,0.543829
0.566031,0.588660
0.578638,0.679851
0.591372,0.737864
0.604106,0.801162
0.617095,0.855164
0.630338,0.911266
0.643072,0.964758
0.655042,1.010162
0.668158,1.060534
0.680765,1.096131
0.693626,1.165034
0.706360,1.217634
0.719222,1.255651
0.732210,1.307615
0.744690,1.351873
0.758315,1.408803
0.771176,1.437714
0.784165,1.468472
0.797026,1.477642
0.809760,1.482418
0.822112,1.485347
0.835101,1.478533
0.847708,1.472930
0.860824,1.456436
0.873558,1.440898
0.886419,1.406192
0.899408,1.366647
0.912014,1.309843
0.925258,1.250238
0.937864,1.188086
0.950853,1.108867
0.963332,1.043085
0.975557,0.957180
0.988164,0.890379
1.001407,0.812689
1.014141,0.732005
1.026239,0.670935
1.039991,0.592799
1.052598,0.479957
1.065205,0.377240
1.078193,0.264589
1.091691,0.188809
1.103534,0.638649
1.117287,0.968133
1.129639,1.099060
1.142245,1.209674
1.154979,1.289784
1.168223,1.343530
1.181211,1.371104
1.193691,1.406702
1.206807,1.440580
1.220050,1.465415
1.232020,1.470764
1.245773,1.459875
1.257743,1.430136
1.270604,1.389381
1.283975,1.334615
1.296327,1.270807
1.308934,1.183756
1.321795,1.088171
1.334656,0.999145
1.347136,0.936802
1.360252,0.839371
1.372858,0.767666
1.385592,0.664440
1.398963,0.587959
1.411824,0.479957
1.424049,0.395071
1.437420,0.320182
1.450026,0.255101
1.463015,0.210078
1.475367,0.182314
1.488483,0.166266
1.501217,0.170214
1.513569,0.186198
1.526685,0.213708
1.540056,0.252235
1.552280,0.297130
1.565524,0.365268
1.578640,0.431942
1.590992,0.522687
1.604235,0.635975
1.616842,0.720797
1.629449,0.834531
1.642055,0.937948
1.654789,1.049390
1.667651,1.123132
1.680130,1.221009
1.693501,1.294369
1.706107,1.353847
1.718969,1.392374
1.732594,1.432301
1.745201,1.459684
1.757553,1.477897
1.770287,1.484265
1.783403,1.473821
1.795755,1.448604
1.808871,1.398232
1.821732,1.338945
1.834466,1.268515
1.847073,1.192098
1.860316,1.116764
1.872795,1.036335
1.885657,0.945399
1.897754,0.882164
1.911125,0.781676
1.924114,0.702776
1.936848,0.609738
1.949836,0.518930
1.961424,0.417996
1.975050,0.339414
1.987911,0.272931
2.000136,0.216192
2.014016,0.192248
2.026495,0.173207
2.039484,0.173526
2.052218,0.180021
2.064697,0.209442
2.077558,0.236888
2.090674,0.287450
2.103026,0.341961
2.116015,0.404878
2.128494,0.476964
2.141865,0.576179
2.154854,0.679660
2.167715,0.792438
2.180067,0.894072
2.193183,1.004686
2.205408,1.093329
2.218269,1.196619
2.231895,1.261828
2.244501,1.327101
2.256981,1.370149
2.270097,1.420075
2.282194,1.443828
2.295310,1.477515
2.307535,1.482291
2.320778,1.475349
2.334149,1.458347
2.346755,1.411541
2.358853,1.362189
2.372478,1.282588
2.384957,1.213112
2.398201,1.135740
2.410553,1.022262
2.423159,0.938012
2.436403,0.811033
2.449137,0.722135
2.461361,0.630498
2.474477,0.571148
2.486829,0.471488
2.500455,0.399337
2.513062,0.321329
2.525414,0.258476
2.538530,0.211925
2.551391,0.180085
2.564125,0.162955
2.577241,0.166075
2.589848,0.190146
2.602454,0.224216
2.614679,0.278153
2.627668,0.318909
2.640911,0.374629
2.653263,0.453593
2.666761,0.529883
2.679750,0.623621
2.692102,0.703922
2.704963,0.802627
2.717570,0.894709
2.730431,1.000992
2.743420,1.089508
2.756663,1.199039
2.768888,1.272845
2.781749,1.339964
2.794610,1.386515
2.807854,1.428544
2.820843,1.443955
2.833067,1.466561
2.845929,1.471847
2.858535,1.464969
2.871397,1.440962
2.884767,1.405428
2.897374,1.347542
2.910872,1.279977
2.923606,1.218462
2.934557,1.133257
2.947673,1.037800
2.960917,0.934637
2.973269,0.849814
2.987149,0.760789
2.999373,0.691122
3.011725,0.595920
3.024587,0.505684
3.037575,0.437355
3.050437,0.369726
3.063043,0.320946
3.075905,0.261087
3.089021,0.208295
3.100991,0.176710
3.114616,0.161936
3.127350,0.164802
3.140084,0.178875
3.153073,0.208232
3.166316,0.234404
3.178032,0.279236
3.191020,0.337503
3.204518,0.398382
3.216488,0.480021
3.229986,0.552171
3.242593,0.642343
3.255072,0.737036
3.268061,0.824406
3.280158,0.909037
3.293147,1.008634
3.306263,1.115299
3.319634,1.186940
3.332240,1.269788
3.344592,1.318186
3.357581,1.369703
3.370570,1.410077
3.383431,1.433129
3.396802,1.456245
3.409154,1.465988
3.421506,1.474331
3.434367,1.461913
3.446974,1.442618
3.459835,1.412879
3.473333,1.370149
3.486449,1.312072
3.499056,1.249028
3.511408,1.182609
3.524269,1.111669
3.537003,1.022134
3.549610,0.950876
3.562599,0.857520
3.575587,0.807021
3.587685,0.741175
3.600291,0.660364
3.613917,0.568537
3.626141,0.543638
3.638748,0.478047
3.651482,0.409972
3.664216,0.304644
3.677332,0.283693
3.690066,0.246313
3.703055,0.214281
3.716043,0.196960
3.729032,0.224916
3.741384,0.238862
3.753863,0.280764
3.766852,0.275988
3.779714,0.298085
3.792320,0.348457
3.804927,0.387556
3.818680,0.461426
3.830522,0.500462
3.843638,0.526380
3.856500,0.591844
3.869106,0.673483
3.882350,0.772888
3.895466,0.857520
3.907945,0.925085
3.920297,0.979468
3.933413,1.013601
3.946529,1.075626
3.959136,1.157328
3.972252,1.227377
3.984222,1.289784
3.997338,1.331495
4.010072,1.346269
4.023442,1.364545
4.036049,1.400270
4.048656,1.431091
4.061517,1.423322
4.074379,1.421985
4.086858,1.419056
4.099974,1.416763
4.112581,1.396959
4.125951,1.367411
4.137921,1.320542
4.151037,1.282843
4.163771,1.255906
4.176760,1.231070
4.189367,1.183819
4.202101,1.126762
4.215217,1.069576
4.227951,1.003157
4.239793,0.933427
4.253037,0.899294
4.265771,0.846185
4.278250,0.791674
4.292257,0.719460
4.303973,0.667178
4.316961,0.597830
4.329695,0.564525
4.342302,0.516828
4.355291,0.470787
4.368152,0.415894
4.381013,0.357053
4.393875,0.329734
4.406099,0.298786
4.419343,0.279872
4.431950,0.247459
4.444047,0.225362
4.457290,0.204602
4.470534,0.198680
4.483522,0.183715
4.495365,0.183396
4.508608,0.180722
4.521724,0.189382
4.534076,0.205748
4.547320,0.224789
4.559672,0.235105
4.572533,0.251471
4.585140,0.272103
4.598128,0.301842
4.610990,0.341961
4.623596,0.372400
4.636203,0.395453
4.648682,0.411055
4.661798,0.466775
4.675042,0.492439
4.687394,0.559494
4.700637,0.601078
4.713371,0.642279
4.725468,0.676476
4.738712,0.698254
4.751191,0.727165
4.764307,0.778301
4.777423,0.840708
4.790030,0.887513
4.802891,0.920118
4.815753,0.951831
4.827850,0.966350
4.841093,1.012646
4.853318,1.070340
4.866816,1.114599
4.879932,1.149687
4.891520,1.168409
4.904127,1.224575
4.917625,1.242979
4.930104,1.277685
4.942838,1.297999
4.955572,1.327292
4.968688,1.325700
4.980785,1.342384
4.994029,1.342129
5.007017,1.369194
5.016313,1.381038
