x(V),y(V)
5.011474,0.500844
4.998486,0.496641
4.986006,0.502373
4.972763,0.499125
4.960029,0.495177
4.947040,0.491547
4.933924,0.494222
4.921063,0.495750
4.908456,0.492630
4.895213,0.496578
4.882861,0.488363
4.870509,0.496196
4.857011,0.489891
4.844277,0.495941
4.831543,0.493776
4.818681,0.492184
4.805820,0.499889
4.792959,0.499825
4.780352,0.506830
4.766854,0.503710
4.754502,0.508486
4.740877,0.505429
4.727888,0.502564
4.715918,0.505175
4.703439,0.505493
4.690195,0.506639
4.677843,0.504347
4.664855,0.502882
4.650720,0.504602
4.638240,0.496832
4.626016,0.493903
4.612900,0.498616
4.599529,0.493903
4.586922,0.498743
4.574061,0.494158
4.561582,0.497979
4.549102,0.496259
4.535859,0.495686
4.522998,0.500526
4.510391,0.494795
4.497148,0.500717
4.484541,0.500399
4.471934,0.510269
4.458818,0.506576
4.445320,0.511224
4.432841,0.510460
4.420234,0.510842
4.407246,0.510396
4.394384,0.508804
4.381778,0.513708
4.368789,0.507467
4.356055,0.515236
4.343066,0.508359
4.329823,0.513198
4.317089,0.503519
4.304482,0.505366
4.291366,0.506194
4.278887,0.502436
4.265389,0.507977
4.252655,0.505875
4.240303,0.511797
4.227696,0.506576
4.214707,0.509696
4.201846,0.509378
4.188857,0.511606
4.176378,0.510078
4.163135,0.515045
4.150019,0.523133
4.137285,0.516828
4.124933,0.527781
4.111562,0.517974
4.098955,0.527654
4.085457,0.520140
4.072978,0.525552
4.060244,0.524852
4.047637,0.523196
4.034776,0.523960
4.022042,0.523005
4.008544,0.525043
3.995046,0.516956
3.982948,0.518548
3.970214,0.514727
3.957098,0.520394
3.944237,0.516382
3.931503,0.522750
3.918387,0.517274
3.906290,0.523069
3.893174,0.519439
3.880567,0.522878
3.867324,0.521732
3.854717,0.521222
3.841219,0.530456
3.828612,0.530201
3.816133,0.536442
3.803144,0.534086
3.790028,0.535359
3.777421,0.535359
3.764178,0.533258
3.751571,0.537715
3.738583,0.533576
3.726103,0.542173
3.713242,0.534595
3.700381,0.542173
3.687392,0.533130
3.674531,0.534340
3.661669,0.529182
3.648553,0.531220
3.635819,0.531538
3.622831,0.529564
3.609714,0.537397
3.596726,0.530201
3.584246,0.535614
3.572022,0.531475
3.558906,0.539244
3.545917,0.534340
3.533183,0.536569
3.520322,0.541409
3.507588,0.546503
3.495108,0.549624
3.481865,0.547268
3.469004,0.553763
3.455760,0.545357
3.443154,0.555037
3.429910,0.551853
3.417304,0.554272
3.404697,0.554527
3.391836,0.551980
3.379229,0.558794
3.365986,0.551853
3.352487,0.548732
3.340263,0.546249
3.327274,0.550388
3.314413,0.546312
3.301297,0.554527
3.289199,0.548987
3.276593,0.554336
3.262840,0.551725
3.250361,0.554527
3.237754,0.552935
3.225020,0.554527
3.211777,0.557393
3.198661,0.559558
3.185927,0.567327
3.173702,0.564780
3.160331,0.569938
3.147852,0.568218
3.134863,0.574587
3.122129,0.573122
3.109013,0.570702
3.096279,0.572294
3.083800,0.569365
3.070811,0.574523
3.057568,0.569046
3.045598,0.576051
3.031463,0.565926
3.018856,0.566818
3.006122,0.566690
2.993643,0.568091
2.980527,0.567964
2.967666,0.570766
2.954295,0.571657
2.941688,0.568792
2.929082,0.576051
2.916984,0.571020
2.903359,0.578981
2.890625,0.570447
2.877764,0.581782
2.864902,0.582037
2.852041,0.588151
2.839434,0.587068
2.826828,0.589106
2.813457,0.589934
2.800977,0.586877
2.787734,0.593754
2.774873,0.589169
2.761629,0.593945
2.749405,0.590889
2.736161,0.595474
2.723682,0.596493
2.710948,0.588533
2.697705,0.585922
2.684589,0.591080
2.672109,0.589806
2.658993,0.591271
2.646387,0.594519
2.633907,0.591653
2.620155,0.593882
2.607930,0.592672
2.595196,0.598849
2.581953,0.592990
2.569346,0.602033
2.556357,0.599613
2.543623,0.612668
2.530125,0.612477
2.517900,0.610566
2.505294,0.617762
2.491796,0.611267
2.479316,0.618908
2.466073,0.615406
2.453084,0.625467
2.441369,0.618144
2.427998,0.625467
2.414755,0.626868
2.402021,0.625404
2.389160,0.620373
2.376171,0.621838
2.363310,0.621647
2.350830,0.624576
2.337587,0.630307
2.324343,0.623875
2.311992,0.630626
2.299130,0.628524
2.286269,0.628906
2.273917,0.630434
2.261183,0.630817
2.247685,0.639477
2.235460,0.634892
2.222217,0.655206
2.209483,0.643298
2.196494,0.658772
2.183633,0.654251
2.170771,0.650685
2.157910,0.659409
2.145049,0.655079
2.131933,0.663230
2.119071,0.660938
2.107356,0.663867
2.093603,0.668324
2.080869,0.664313
2.068390,0.665140
2.055147,0.660619
2.041903,0.665777
2.029679,0.665714
2.016562,0.669216
2.003701,0.673674
1.991349,0.672145
1.977724,0.679341
1.964735,0.674884
1.952638,0.681379
1.939904,0.684499
1.927042,0.686091
1.913926,0.695325
1.901192,0.700228
1.887949,0.703285
1.875088,0.707679
1.862863,0.713792
1.849492,0.708698
1.836758,0.713601
1.824024,0.718059
1.810526,0.720352
1.797665,0.725319
1.785186,0.720415
1.772579,0.732578
1.759845,0.728821
1.746601,0.727165
1.733867,0.732069
1.720879,0.732069
1.707890,0.734043
1.695283,0.740156
1.682931,0.742385
1.669688,0.746970
1.656572,0.750473
1.643456,0.752319
1.630977,0.759770
1.618879,0.759961
1.606145,0.768176
1.592520,0.768239
1.579913,0.787917
1.566797,0.784924
