x(V),y(V)
0.009810,0.464801
0.022671,0.470851
0.035660,0.481804
0.048776,0.471424
0.061637,0.436463
0.074117,0.388321
0.087105,0.358200
0.099839,0.338013
0.112701,0.315725
0.124798,0.315852
0.138423,0.289743
0.151539,0.260450
0.163891,0.239626
0.176880,0.233067
0.189741,0.222369
0.202730,0.214281
0.215082,0.196069
0.227689,0.190083
0.241059,0.177920
0.253793,0.175309
0.266400,0.173717
0.279389,0.175118
0.292378,0.180340
0.305366,0.185944
0.317846,0.187536
0.330070,0.200781
0.343059,0.207722
0.356302,0.233067
0.369291,0.248223
0.381898,0.276943
0.395268,0.294901
0.407366,0.320564
0.420100,0.363676
0.433598,0.393479
0.446332,0.420607
0.458938,0.486389
0.471927,0.516446
0.484279,0.545230
0.497395,0.595155
0.510256,0.648583
0.522608,0.694370
0.535724,0.752510
0.548968,0.800207
0.561956,0.842682
0.574308,0.880190
0.587297,0.928587
0.600541,0.972654
0.612638,1.038373
0.625881,1.086070
0.638615,1.158283
0.651222,1.179107
0.663701,1.193690
0.677072,1.216997
0.689933,1.254887
0.702413,1.312263
0.715783,1.330094
0.728517,1.375052
0.740869,1.399888
0.754367,1.419119
0.767356,1.434785
0.779581,1.445420
0.792697,1.457710
0.805685,1.470892
0.818037,1.482545
0.830644,1.481845
0.844015,1.478470
0.856112,1.470319
0.869228,1.456564
0.882726,1.419884
0.895206,1.395812
0.908067,1.369894
0.920928,1.334934
0.933790,1.291885
0.946269,1.261255
0.959385,1.204834
0.971992,1.129372
0.984471,1.027547
0.996696,0.990931
1.010321,0.928651
1.022928,0.862996
1.035789,0.794794
1.049032,0.708889
1.061257,0.609929
1.074118,0.467221
1.087616,0.388257
1.099714,0.325595
1.112957,0.267200
1.125436,0.200208
1.138298,0.176455
1.150777,0.638777
1.164020,1.195600
1.176372,1.276857
1.189616,1.346269
1.202987,1.397850
1.215593,1.445865
1.228200,1.477387
1.241061,1.482163
1.253923,1.473948
1.267039,1.440134
1.279263,1.405110
1.292379,1.345505
1.304095,1.282397
1.317465,1.184074
1.330581,1.104792
1.343315,1.017931
1.356177,0.943807
1.369038,0.854654
1.381772,0.735508
1.394251,0.637694
1.406985,0.556438
1.420229,0.459707
1.432453,0.351386
1.445697,0.276943
1.459195,0.241600
1.470783,0.205366
1.483771,0.182123
1.496760,0.172762
1.509367,0.181104
1.522738,0.197852
1.535854,0.232812
1.548588,0.284266
1.561194,0.348584
1.574056,0.409526
1.586917,0.487726
1.599778,0.592099
1.612385,0.689912
1.624992,0.824660
1.637726,0.913177
1.650714,1.021943
1.663194,1.105620
1.676564,1.187067
1.689171,1.264503
1.702287,1.337544
1.715276,1.380975
1.727500,1.423195
1.740489,1.443955
1.753096,1.466498
1.766467,1.475986
1.778819,1.474967
1.791935,1.448476
1.804414,1.402753
1.817657,1.354165
1.830391,1.303730
1.843635,1.240750
1.856114,1.177451
1.868975,1.109504
1.881582,0.997490
1.894061,0.899676
1.907305,0.821986
1.919657,0.766647
1.932645,0.675393
1.945379,0.578025
1.957604,0.482250
1.970975,0.373292
1.983581,0.298149
1.996188,0.240773
2.009559,0.201736
2.022165,0.183269
2.034899,0.164356
2.047888,0.164802
2.060113,0.191611
2.073229,0.215300
2.086345,0.249497
2.099461,0.297512
2.111940,0.359028
2.124165,0.434362
2.137536,0.534086
2.150270,0.643553
2.163258,0.753466
2.175738,0.854718
2.189490,0.968515
2.201460,1.062762
2.214831,1.158666
2.227056,1.237502
2.240426,1.313473
2.253033,1.362698
2.265640,1.393775
2.278119,1.427334
2.290980,1.457646
2.303587,1.469172
2.316958,1.470637
2.329437,1.452552
2.342171,1.418037
