x(V),y(V)
0.012484,1.172166
0.024709,1.200567
0.038079,1.225084
0.050941,1.350854
0.064693,1.458092
0.077173,1.544952
0.090161,1.635570
0.103023,1.730709
0.115629,1.812347
0.129127,1.877939
0.141989,1.924425
0.154596,2.013196
0.167584,2.068662
0.180191,2.141959
0.194071,2.175072
0.206423,2.274796
0.219539,2.343380
0.232655,2.423491
0.245007,2.465329
0.257996,2.505129
0.271112,2.542128
0.284100,2.566581
0.297344,2.570338
0.309950,2.568109
0.322557,2.557730
0.335036,2.520922
0.348152,2.500099
0.360759,2.465838
0.374512,2.444505
0.387373,2.369107
0.399598,2.306764
0.412332,2.202583
0.425830,2.086938
0.438946,1.966900
0.451807,1.870361
0.464414,1.763823
0.477912,1.590038
0.490264,1.452552
0.502998,1.362889
0.515605,1.274246
0.528721,1.136123
0.541964,1.039710
0.554698,0.936484
0.567432,0.860385
0.580166,0.736654
0.593027,0.649220
0.606271,0.529564
0.618878,0.430541
0.631994,0.356990
0.645110,0.293882
0.657080,0.248096
0.670450,0.214727
0.683439,0.206321
0.695918,0.203137
0.709926,0.214536
0.722278,0.236506
0.735139,0.264780
0.748000,0.300696
0.760862,0.348138
0.774487,0.400611
0.787348,0.473334
0.799955,0.563633
0.812562,0.699146
0.825805,0.824406
0.839049,0.959791
0.851528,1.042830
0.864644,1.175222
0.877123,1.280487
0.890239,1.404982
0.903610,1.493053
0.916217,1.637480
0.928823,1.766879
0.942576,1.908059
0.955819,2.021475
0.968171,2.140303
0.980651,2.261678
0.993512,2.348093
1.006628,2.419734
1.019107,2.487490
1.032351,2.539262
1.045340,2.557921
1.057564,2.568555
1.070426,2.560086
1.083796,2.524042
1.096912,2.491247
1.110028,2.433425
1.122635,2.374457
1.136006,2.281801
1.148230,2.215382
1.161219,2.055608
1.174335,1.891566
1.186942,1.703326
1.200312,1.551320
1.213301,1.406765
1.225526,1.281506
1.238260,1.125997
1.251758,0.996980
1.264747,0.855991
1.277608,0.748689
1.290342,0.608719
1.302567,0.488618
1.315428,0.412710
1.328035,0.335020
1.341023,0.280064
1.353885,0.222050
1.367637,0.203456
1.379989,0.209378
1.393105,0.233386
1.405967,0.272231
1.419465,0.309166
1.432071,0.377686
1.444805,0.449072
1.457921,0.532366
1.469509,0.638331
1.483389,0.781549
1.496251,0.933618
1.509112,1.093011
1.522101,1.249793
1.535344,1.434594
1.548206,1.601692
1.561067,1.761594
1.574310,1.903347
1.587172,2.060320
1.600415,2.190165
1.613022,2.303516
1.625501,2.381780
1.637980,2.450491
1.651478,2.521559
1.663958,2.544802
1.677583,2.563907
1.690062,2.549578
1.703051,2.499653
1.715530,2.424510
1.728774,2.299823
1.741890,2.182778
1.754369,2.018928
1.767358,1.879021
1.780856,1.755608
1.792826,1.581059
1.806451,1.420584
1.818549,1.245144
1.831792,1.041939
1.845035,0.867518
1.856751,0.668197
1.870758,0.496960
1.883492,0.367051
1.896608,0.286877
1.909087,0.230838
1.922076,0.204029
1.934810,0.229756
1.948308,0.317954
1.959896,0.480467
1.973522,0.820903
1.986128,0.760279
1.999244,0.328652
2.012106,0.385264
2.025349,0.445124
2.037446,0.772060
2.050690,0.911903
2.063806,1.170255
2.076667,1.592904
2.089656,1.761976
2.103026,2.054079
2.115506,2.330199
2.128876,2.441321
2.141610,2.516592
2.154344,2.497870
2.167078,2.427248
2.180067,2.336758
2.193311,2.097764
2.205790,1.935315
2.218906,1.735039
2.232149,1.427780
2.244374,1.212412
2.257745,0.921901
2.270733,0.607637
2.281812,0.407934
2.295565,0.253891
2.308426,0.209187
2.321033,0.247204
2.334403,0.331836
2.346883,0.490592
2.359871,0.632982
2.372987,0.839498
2.385594,1.097659
2.399219,1.327674
2.411444,1.614110
2.424942,1.901182
2.438186,2.105278
2.450283,2.326187
2.464163,2.486152
2.476388,2.542892
2.489249,2.511816
2.502110,2.392351
2.515481,2.246331
2.527960,2.069235
2.540822,1.873481
2.553810,1.651809
2.566035,1.383395
2.579788,1.127780
2.592522,0.895028
2.604746,0.600823
2.617862,0.399719
2.630596,0.270448
2.643712,0.211352
2.656574,0.226954
2.669308,0.324385
2.682424,0.497151
2.695285,0.722135
2.708401,0.925976
2.721517,1.172421
2.734124,1.426188
2.747495,1.697595
2.759847,1.922515
2.772581,2.136928
2.785697,2.338732
2.799067,2.473416
2.812056,2.544802
2.824663,2.528436
2.837397,2.447689
2.850258,2.266072
2.863247,2.084137
2.875726,1.825848
2.889352,1.539922
2.901704,1.284626
2.915074,1.013856
2.926662,0.763336
2.939396,0.569619
2.952258,0.399401
2.965628,0.290507
2.978235,0.214600
2.991224,0.208486
3.004340,0.278981
3.016182,0.421817
3.029680,0.654506
3.043433,0.885030
3.056294,1.162741
3.068901,1.450705
3.081890,1.724277
3.094878,1.942256
3.107612,2.170105
3.121111,2.325486
3.132444,2.460107
3.146706,2.529710
3.159695,2.555055
3.172301,2.519203
3.184781,2.414257
3.198024,2.219012
3.210885,2.001415
3.223619,1.732046
3.236099,1.449304
3.249597,1.147649
3.261821,0.873249
3.274046,0.654888
3.287417,0.450791
3.300023,0.310949
3.313394,0.231603
3.326383,0.201227
3.338989,0.208996
3.351978,0.286623
3.365094,0.428567
3.377955,0.642470
3.390690,0.883056
3.404315,1.222091
3.416794,1.512539
3.429656,1.772865
3.442135,2.017208
3.455888,2.245121
3.468240,2.426484
3.481228,2.514172
3.494217,2.547668
3.506442,2.543847
3.519812,2.474945
3.532801,2.390377
3.545535,2.198443
3.558906,1.969957
3.571385,1.653464
3.583992,1.365373
3.596216,1.039264
3.609332,0.805811
3.622448,0.577197
3.635055,0.397873
3.648044,0.273823
3.660778,0.201609
3.674021,0.203583
3.687137,0.269238
3.699871,0.360301
3.712223,0.494476
3.725594,0.685072
3.739219,0.923429
3.751062,1.212476
3.763923,1.514449
3.777294,1.834381
3.789773,2.092033
3.802762,2.298104
3.815878,2.459534
3.828739,2.543720
3.841473,2.557666
3.854335,2.520540
3.867960,2.435144
3.880949,2.292372
3.893556,2.123427
3.905908,1.882460
3.918260,1.611117
3.930994,1.339710
3.944237,1.059387
3.956716,0.780402
3.970214,0.560959
3.983203,0.358136
3.995300,0.248478
4.008416,0.194095
4.022169,0.215491
4.034903,0.309293
4.047382,0.423727
4.060498,0.631517
4.073105,0.810269
4.086094,1.069322
4.098828,1.323662
4.111816,1.577557
4.124678,1.846544
4.137794,2.108399
4.150910,2.323894
4.163644,2.476091
4.176251,2.547477
4.189367,2.555819
4.202101,2.496087
4.215471,2.391714
4.227569,2.212453
4.239666,1.977026
4.252655,1.730263
4.266025,1.476368
4.278632,1.240431
4.292385,1.029330
4.304482,0.796514
4.317216,0.575478
4.330587,0.377622
4.342557,0.249879
4.355800,0.198298
4.368661,0.216447
4.381650,0.312986
4.394894,0.437800
4.407118,0.634510
4.420362,0.828800
4.433096,1.090400
4.446084,1.324044
4.459455,1.588510
4.472316,1.794135
4.485178,2.004854
4.497912,2.200417
4.511410,2.364522
4.524398,2.491247
4.536368,2.554800
4.549994,2.534295
4.562091,2.448772
4.574825,2.328288
4.587432,2.159534
4.601057,1.977089
4.613409,1.728735
4.626398,1.511520
4.639132,1.268769
4.651866,1.053911
4.664855,0.844593
4.678225,0.638395
4.690577,0.448053
4.703693,0.317890
4.716300,0.228610
4.728907,0.194349
4.742023,0.216319
4.754757,0.293245
4.767745,0.403986
4.780734,0.585667
4.793341,0.775626
4.806329,0.987810
4.819191,1.154781
4.831797,1.355311
4.845550,1.565139
4.858284,1.781271
4.871528,2.002307
4.884389,2.185070
4.896232,2.343954
4.909348,2.460617
4.921827,2.532194
4.935198,2.555692
4.947932,2.537606
4.960666,2.467239
4.973654,2.371400
4.986516,2.186153
4.999377,2.020074
5.011856,1.866158
5.022298,1.778342
