x(V),y(V)
4.999886,0.155759
4.986770,0.158561
4.974291,0.157860
4.961557,0.160471
4.949587,0.157224
4.936726,0.155568
4.923864,0.157287
4.911003,0.159898
4.898396,0.167030
4.886299,0.165184
4.873947,0.165184
4.861213,0.165311
4.848988,0.166394
4.835745,0.166394
4.823266,0.165375
4.809640,0.165502
4.798180,0.165820
4.785064,0.166202
4.772330,0.165948
4.760105,0.166521
4.746862,0.158433
4.734510,0.157478
4.722030,0.157606
4.709296,0.157860
4.696817,0.158752
4.684465,0.156268
4.671349,0.158752
4.658106,0.156523
4.645881,0.159007
4.634038,0.157160
4.620922,0.159261
4.608443,0.158433
4.595200,0.162191
4.583230,0.168240
4.570878,0.167667
4.558271,0.167795
4.545792,0.167412
4.533058,0.168622
4.520196,0.167858
4.507844,0.167412
4.494219,0.167795
4.482376,0.168304
4.469515,0.169450
4.457290,0.169832
4.444047,0.168049
4.431822,0.161108
4.418833,0.160471
4.406099,0.159198
4.394002,0.161681
4.381523,0.159834
4.368916,0.160408
4.356437,0.161172
4.343575,0.161299
4.330332,0.161426
4.317853,0.160599
4.305373,0.160790
4.293149,0.161745
4.280542,0.165438
4.267681,0.171042
4.254692,0.171042
4.242340,0.170724
4.230115,0.170915
4.217891,0.170278
4.205029,0.172762
4.192423,0.170342
4.179434,0.174290
4.167209,0.173908
4.154475,0.172571
4.141869,0.172061
4.129262,0.172380
4.116019,0.164356
4.103667,0.163655
4.091187,0.163401
4.078453,0.164610
4.066229,0.163337
4.053367,0.163719
4.040633,0.162573
4.028663,0.165438
4.015802,0.164165
4.003068,0.164165
3.989952,0.164483
3.977473,0.164483
3.965248,0.167731
3.952769,0.174736
3.940162,0.174672
3.926919,0.174927
3.914185,0.174226
3.902342,0.174035
3.889226,0.175436
3.876619,0.174035
3.864267,0.175181
3.851279,0.175755
3.838417,0.175245
3.826193,0.176519
3.813586,0.174290
3.800979,0.168304
3.787736,0.167285
3.775511,0.167158
3.762777,0.168113
3.749916,0.168240
3.737819,0.165693
3.725085,0.169195
3.712351,0.167795
3.699999,0.169323
3.686755,0.168240
3.673639,0.167349
3.661160,0.170151
3.649572,0.172188
3.636329,0.178620
3.623977,0.178811
3.611497,0.178111
3.597999,0.179575
3.585902,0.179384
3.574441,0.179193
3.561453,0.179703
3.548719,0.177792
3.536621,0.180785
3.522996,0.179448
3.510262,0.182123
3.498547,0.179575
3.485940,0.172507
3.473333,0.171424
3.460345,0.172634
3.447865,0.171870
3.434749,0.172380
3.422270,0.171297
3.410555,0.173016
3.396929,0.172061
3.384577,0.173589
3.372098,0.172507
3.358982,0.172825
3.346630,0.172125
3.333641,0.176137
3.321416,0.182250
3.308173,0.181295
3.295566,0.180594
3.283469,0.182696
3.270990,0.182377
3.258001,0.183269
3.246158,0.183014
3.233170,0.186326
3.220436,0.185116
3.207956,0.186517
3.195350,0.186517
3.182743,0.186135
3.169882,0.178939
3.157657,0.178302
3.144796,0.178620
3.131680,0.179002
3.119582,0.178238
3.106466,0.177601
3.093987,0.180021
3.081508,0.179575
3.069028,0.180913
3.056549,0.179384
3.044197,0.180658
3.030954,0.180785
3.017328,0.184033
3.006122,0.190974
2.993006,0.190656
2.980018,0.189955
2.968048,0.191420
2.955186,0.191802
2.943089,0.191993
2.930482,0.191929
2.917366,0.191229
2.905142,0.192821
2.892280,0.193713
2.880183,0.193840
2.867322,0.193713
2.854460,0.185689
2.841981,0.185625
2.829374,0.186198
2.817022,0.185689
2.804416,0.185498
2.791936,0.184797
2.778948,0.186708
2.765959,0.186644
2.753734,0.186771
2.741128,0.187090
2.728394,0.186708
2.715914,0.187090
2.702926,0.189955
2.690446,0.197024
2.678222,0.197279
2.665360,0.197151
2.652754,0.197915
2.640020,0.198107
2.627286,0.199635
2.614424,0.199062
2.602072,0.198871
2.589975,0.199444
2.576732,0.200845
2.564252,0.201864
2.551518,0.200845
2.539039,0.194031
2.525796,0.192184
2.513571,0.193967
2.500582,0.194031
2.487976,0.193776
2.475751,0.194158
2.462890,0.194668
2.450283,0.196960
2.438058,0.195878
2.425070,0.197215
2.412590,0.196005
2.399856,0.198807
2.387632,0.198871
2.374515,0.209378
2.361654,0.205748
2.349175,0.207595
2.336441,0.209187
2.323579,0.209442
2.311227,0.213263
2.298366,0.209187
2.285377,0.213963
2.274044,0.211288
2.261437,0.214791
2.248958,0.213772
2.236097,0.215619
2.222853,0.206321
2.210629,0.207850
2.197895,0.208741
2.185925,0.207722
2.173700,0.209569
2.160075,0.207468
2.147977,0.211543
2.134989,0.209060
2.121873,0.213963
2.109903,0.210015
2.097169,0.212116
2.084307,0.212753
2.071573,0.218293
2.059094,0.222942
2.047124,0.225362
2.034135,0.227018
2.021274,0.227209
2.008031,0.227400
1.996443,0.226890
1.983454,0.228164
1.970338,0.228100
1.957859,0.229947
1.946016,0.231093
1.933155,0.232558
1.920293,0.232558
1.908196,0.223706
1.895335,0.227081
1.882983,0.224407
1.870249,0.227209
1.857260,0.226699
1.844781,0.227272
1.831919,0.229501
1.819058,0.229628
1.806197,0.230966
1.793463,0.230584
1.781747,0.232685
1.769013,0.233004
1.755133,0.237589
1.743673,0.244466
1.730811,0.246695
1.717950,0.247523
1.705471,0.248605
1.692864,0.247077
1.680639,0.250707
1.668033,0.249306
1.654789,0.251025
1.642565,0.251598
1.629449,0.253636
1.618625,0.254018
1.604745,0.255801
1.591756,0.246440
1.580041,0.250643
1.566925,0.248287
1.554445,0.252362
1.542221,0.250006
1.528977,0.252426
1.516498,0.254655
1.503637,0.255037
1.490903,0.257202
1.478678,0.256756
1.465435,0.259113
