x(V),y(V)
0.013503,1.823937
0.026364,1.779807
0.039735,1.717973
0.052469,1.758792
0.065075,1.717336
0.077682,1.680274
0.090925,1.593986
0.103532,1.577047
0.116521,1.498911
0.129637,1.445802
0.142498,1.373715
0.155105,1.324808
0.167712,1.265585
0.180700,1.241832
0.193689,1.191907
0.206678,1.115745
0.219284,1.049644
0.232400,1.028248
0.244625,0.955206
0.257868,0.887004
0.270857,0.846630
0.284100,0.794412
0.296834,0.732706
0.309441,0.635019
0.322175,0.578598
0.334654,0.515491
0.347261,0.462318
0.360632,0.427102
0.373366,0.409781
0.386354,0.372337
0.399089,0.339478
0.411823,0.312859
0.424811,0.286559
0.438055,0.262106
0.451043,0.243447
0.464159,0.220140
0.476511,0.206512
0.489118,0.212435
0.501852,0.219312
0.515095,0.235360
0.527702,0.250452
0.540691,0.264398
0.553679,0.284967
0.566795,0.324576
0.579529,0.351131
0.592263,0.401311
0.605125,0.443850
0.618113,0.494031
0.630847,0.525425
0.643836,0.591144
0.656061,0.685837
0.668795,0.772633
0.682293,0.850069
0.695154,0.932408
0.708270,1.044422
0.721004,1.119311
0.733356,1.209292
0.746090,1.266158
0.759334,1.335634
0.772322,1.406511
0.785438,1.522155
0.798172,1.599208
0.811161,1.673460
0.824022,1.753889
0.836502,1.827185
0.849618,1.912135
0.862606,1.962952
0.875723,2.056053
0.888329,2.099738
0.900936,2.162846
0.914179,2.183415
0.926786,2.203283
0.939647,2.201500
0.952763,2.184752
0.965752,2.161636
0.977849,2.121899
0.990965,2.070254
1.003572,1.988042
1.016306,1.878448
1.029167,1.711859
1.042156,1.486621
1.054763,1.095431
1.067624,0.473589
1.080485,0.250261
1.093219,0.334256
1.106463,0.425001
1.119579,0.545867
1.132185,0.677431
1.144792,0.814217
1.157399,0.908464
1.170897,1.004558
1.183249,1.128481
1.196365,1.268069
1.209226,1.406001
1.222215,1.553104
1.235204,1.701288
1.247810,1.816741
1.260799,1.936525
1.273915,2.038477
1.286904,2.119861
1.299510,2.159152
1.311990,2.192203
1.324596,2.198825
1.337585,2.188891
1.350192,2.175900
1.363562,2.136864
1.376296,2.070509
1.389030,2.002052
1.401764,1.909460
1.414753,1.798147
1.427997,1.675689
1.440603,1.558134
1.453465,1.392756
1.465944,1.213240
1.478551,1.066774
1.491539,0.952850
1.504528,0.823705
1.517389,0.684627
1.530505,0.572612
1.542730,0.488745
1.555591,0.396663
1.568835,0.347438
1.581569,0.290953
1.594939,0.250452
1.607928,0.225234
1.620789,0.226763
1.632505,0.249115
1.645366,0.294837
1.658864,0.371700
1.671343,0.448499
1.684714,0.566053
1.697066,0.699019
1.710055,0.825106
1.722407,0.923939
1.735778,1.060916
1.749021,1.174076
1.761882,1.302966
1.774489,1.431728
1.787478,1.595770
1.800084,1.702053
1.813200,1.803687
1.825680,1.900163
1.838796,2.008420
1.852039,2.085346
1.864900,2.147945
1.877507,2.184115
1.890241,2.179912
1.903484,2.174245
1.916091,2.134954
1.928825,2.093370
1.941941,2.021156
1.954548,1.932959
1.966900,1.850046
1.979761,1.750705
1.992623,1.648943
2.005866,1.491461
2.018727,1.345696
2.031334,1.176687
2.044068,1.018950
2.056929,0.852998
2.069791,0.734043
2.082652,0.584393
2.095386,0.492120
2.108629,0.398000
2.120981,0.333046
2.134225,0.277325
2.147213,0.242301
2.159438,0.223579
2.172172,0.219185
2.185415,0.243702
2.198149,0.292672
2.211265,0.344126
2.223872,0.431241
2.236734,0.514981
2.249850,0.631581
2.262838,0.773143
2.275954,0.925212
2.287924,1.042448
2.300658,1.147840
2.313520,1.280359
2.326381,1.419629
2.339497,1.548519
2.352486,1.670976
2.365220,1.799038
2.378081,1.860745
2.390688,1.954928
2.404186,2.030072
2.416538,2.102349
2.429399,2.149537
2.442006,2.165839
2.455122,2.165584
2.467856,2.149154
2.480717,2.103304
2.493961,2.039369
2.506695,1.958112
2.519429,1.887682
2.531908,1.789168
2.545024,1.694092
2.558013,1.581760
2.570492,1.476814
2.583990,1.327610
2.596724,1.204707
2.608949,1.058050
2.621810,0.934319
2.634544,0.791292
2.647023,0.686282
2.660267,0.537970
2.673128,0.423663
2.685862,0.352150
2.698851,0.299868
2.711330,0.252617
2.724701,0.229374
2.737307,0.219885
2.750423,0.225362
2.763030,0.250197
2.775255,0.286877
2.788880,0.336803
2.801742,0.422645
2.814603,0.534913
2.827719,0.654251
2.840453,0.762763
2.852805,0.920118
2.865794,1.061425
2.879037,1.182036
2.891389,1.306405
2.904378,1.419756
2.917366,1.542087
2.929846,1.639518
2.942452,1.753825
2.955314,1.849855
2.968175,1.945058
2.981291,2.018991
2.994280,2.071018
3.007014,2.115595
3.019748,2.144506
3.032482,2.152466
3.046235,2.137883
3.058205,2.119861
3.071321,2.076559
3.084182,2.000205
3.096916,1.903538
3.109650,1.845907
3.122639,1.769363
3.135373,1.644039
3.148107,1.533681
3.160841,1.440261
3.173575,1.313155
3.186818,1.187258
3.199297,1.057541
3.212031,0.936738
3.224765,0.797596
3.238009,0.659218
3.250361,0.564589
3.262713,0.472825
3.275319,0.391377
3.289199,0.326869
3.301806,0.280955
3.314667,0.241218
3.327529,0.224534
3.340135,0.220013
3.352997,0.229692
3.365858,0.250325
3.379102,0.292099
3.392090,0.341388
